Name,Location,Distance,Rate,Grade,Price,Review,TypeRoom,TypeBed,CancellationPolicy,DateOfVacation,SnapShotDate,numOfNights,TimeToTravel
Nolitan Hotel SoHo - New York,"SoHo, New York",5.4 km from center,7.9,Good,"₪ 2,016","1,153 reviews",Superior Queen Room with Balcony Disability Access,1 full bed,FREE cancellation • No prepayment needed,2023-03-25-2023-03-28,2023-03-22,3 nights,3.0
NU Hotel,"Boerum Hill, Brooklyn",8.8 km from center,7.9,Good,"₪ 1,883",738 reviews,Queen Room,1 queen bed,FREE cancellation • No prepayment needed,2023-03-25-2023-03-28,2023-03-22,3 nights,3.0
Washington Square Hotel,"Greenwich Village, New York",4.2 km from center,8.1,Very Good,"₪ 3,434",560 reviews,Superior Twin Room,2 twin beds,Free cancellation,2023-03-25-2023-03-28,2023-03-22,3 nights,3.0
Roxy Hotel New York,"Tribeca, New York",5.8 km from center,8.4,Very Good,"₪ 4,104",942 reviews,Standard Room,1 full bed,FREE cancellation • No prepayment needed,2023-03-25-2023-03-29,2023-03-22,4 nights,3.0
Margaritaville Resort Times Square,"Manhattan, New York",1.5 km from center,8.8,Excellent,"₪ 2,932","1,459 reviews",Deluxe King Room,1 king bed,Prepayment,2023-03-25-2023-03-29,2023-03-22,4 nights,3.0
33 Seaport Hotel New York,"Wall Street - Financial District, New York",6.9 km from center,8.7,Excellent,"₪ 2,854",284 reviews,Superior Courtyard King,1 king bed,Free cancellation,2023-03-25-2023-03-29,2023-03-22,4 nights,3.0
"Holiday Inn Express & Suites Jersey City - Holland Tunnel, an IHG Hotel",Jersey City,6.4 km from center,8.2,Very Good,"₪ 2,104","1,290 reviews",Suite with Two Beds - Non-Smoking,"Private suite
3 beds (1 sofa bed, 2 queens)",Prepayment,2023-03-25-2023-03-29,2023-03-22,4 nights,3.0
Royalton New York,"Manhattan, New York",1.4 km from center,7.6,Good,"₪ 3,876","1,400 reviews",Standard Queen Room,1 queen bed,FREE cancellation • No prepayment needed,2023-03-25-2023-03-29,2023-03-22,4 nights,3.0
Hyatt House Jersey City,Jersey City,7.3 km from center,8.2,Very Good,"₪ 3,062","1,531 reviews",King Room,1 king bed,Free cancellation,2023-03-25-2023-03-29,2023-03-22,4 nights,3.0
Pod Times Square,"Hell's Kitchen, New York",1.4 km from center,8.1,Very Good,"₪ 1,659","12,925 reviews",Bunk Pod,2 twin beds,FREE cancellation • No prepayment needed,2023-03-25-2023-03-29,2023-03-22,4 nights,3.0
Aloft Brooklyn,"Downtown Brooklyn, Brooklyn",8.5 km from center,6.0,Review score,"₪ 1,792",875 reviews,"Guest Room, 1 King",1 king bed,FREE cancellation • No prepayment needed,2023-03-25-2023-03-29,2023-03-22,4 nights,3.0
The Tillary Hotel Brooklyn,"Downtown Brooklyn, Brooklyn",8 km from center,7.6,Good,"₪ 2,606",211 reviews,Classic King,Multiple bed types,FREE cancellation • No prepayment needed,2023-03-25-2023-03-29,2023-03-22,4 nights,3.0
Paramount Hotel Times Square,"Manhattan, New York",1 km from center,6.5,Review score,"₪ 1,917","2,522 reviews",Double Room,1 full bed,Prepayment,2023-03-25-2023-03-29,2023-03-22,4 nights,3.0
Pod Brooklyn,"Williamsburg, Brooklyn",6.2 km from center,8.2,Very Good,"₪ 2,439","2,876 reviews",Queen Pod,1 queen bed,FREE cancellation • No prepayment needed,2023-03-25-2023-03-29,2023-03-22,4 nights,3.0
UES apartment,"Upper East Side, New York",2.6 km from center,9.0,Wonderful,"₪ 2,493",1 review,One-Bedroom Apartment,"Entire apartment • 1 bedroom • 1 living room • 1 bathroom • 1 kitchen • 800m²
2 beds (1 full, 1 sofa bed)",Prepayment,2023-03-25-2023-03-29,2023-03-22,4 nights,3.0
Holland Hotel Free Parking Jersey City,Jersey City,6.5 km from center,8.3,Very Good,"₪ 1,947",961 reviews,Standard Double Room,,Prepayment,2023-03-25-2023-03-29,2023-03-22,4 nights,3.0
Sonesta Simply Suites Jersey City,Jersey City,6.8 km from center,8.5,Very Good,"₪ 2,573",654 reviews,Studio Queen Suite,1 queen bed,Prepayment,2023-03-25-2023-03-29,2023-03-22,4 nights,3.0
The Tuscany Powered by LuxUrban,"Murray Hill, New York",2.1 km from center,7.8,Good,"₪ 2,862",122 reviews,Deluxe Studio,1 king bed,Free cancellation,2023-03-25-2023-03-29,2023-03-22,4 nights,3.0
Oasis II: Central Harlem,"Harlem, New York",5.6 km from center,8.0,Very Good,"₪ 3,366",1 review,Apartment,"Entire apartment • 4 bedrooms • 2 bathrooms • 1,000m²
7 beds (4 twins, 1 sofa bed, 2 queens)",Prepayment,2023-03-25-2023-03-29,2023-03-22,4 nights,3.0
Sheraton Brooklyn New York,"Downtown Brooklyn, Brooklyn",8.5 km from center,7.1,Good,"₪ 2,275","1,810 reviews","Guest room, 2 Double",2 full beds,FREE cancellation • No prepayment needed,2023-03-25-2023-03-29,2023-03-22,4 nights,3.0
Fitzpatrick Grand Central,"Midtown East, New York",1.8 km from center,8.2,Very Good,"₪ 2,977",388 reviews,Deluxe Room,1 queen bed,FREE cancellation • No prepayment needed,2023-03-25-2023-03-29,2023-03-22,4 nights,3.0
Moderne Hotel,"Manhattan, New York",350 m from center,7.8,Good,"₪ 2,607",533 reviews,Deluxe Room,1 king bed,FREE cancellation • No prepayment needed,2023-03-25-2023-03-29,2023-03-22,4 nights,3.0
The Cloud One New York-Downtown,"Wall Street - Financial District, New York",7 km from center,8.2,Very Good,"₪ 2,625",617 reviews,Standard King Room,1 king bed,FREE cancellation • No prepayment needed,2023-03-25-2023-03-29,2023-03-22,4 nights,3.0
TownePlace Suites by Marriott New York Manhattan/Chelsea,"Chelsea, New York",2.5 km from center,8.1,Very Good,"₪ 3,051","2,440 reviews",King Studio with Kitchenette,"Entire studio • 1 bathroom • 19m²
1 king bed",Prepayment,2023-03-25-2023-03-29,2023-03-22,4 nights,3.0
W Hoboken,Hoboken,5 km from center,8.4,Very Good,"₪ 4,312",250 reviews,King Room,1 king bed,FREE cancellation • No prepayment needed,2023-03-25-2023-03-29,2023-03-22,4 nights,3.0
Best Western Premier Empire State Hotel,"NoMad, New York",2.5 km from center,8.2,Very Good,"₪ 2,160",904 reviews,King Room,1 king bed,Prepayment,2023-03-25-2023-03-29,2023-03-22,4 nights,3.0
Sonder at The Nash,"Murray Hill, New York",2.3 km from center,7.3,Good,"₪ 2,380",83 reviews,Studio Apartment,"Entire apartment • 1 bedroom • 1 bathroom • 1 kitchen • 29m²
1 full bed",Free cancellation,2023-03-25-2023-03-29,2023-03-22,4 nights,3.0
The FIDI Hotel,"Wall Street - Financial District, New York",7.6 km from center,8.9,Excellent,"₪ 1,951",13 reviews,Standard Full,1 full bed,FREE cancellation • No prepayment needed,2023-03-25-2023-03-29,2023-03-22,4 nights,3.0
"Holiday Inn New York City - Times Square, an IHG Hotel","Hell's Kitchen, New York",1.6 km from center,7.6,Good,"₪ 2,541","1,941 reviews",King Room - Manhattan View,1 king bed,Prepayment,2023-03-25-2023-03-29,2023-03-22,4 nights,3.0
The Washington by LuxUrban,"Wall Street - Financial District, New York",7.1 km from center,8.2,Very Good,"₪ 3,196","2,839 reviews",Deluxe King,1 king bed,Free cancellation,2023-03-25-2023-03-29,2023-03-22,4 nights,3.0
Hampton Inn Manhattan Times Square North,"Hell's Kitchen, New York",0.6 km from center,7.8,Good,"₪ 3,155","2,676 reviews",King Room,1 king bed,Prepayment,2023-03-25-2023-03-29,2023-03-22,4 nights,3.0
Courtyard By Marriott Jersey City Newport,"Newport, Jersey City",6.3 km from center,8.3,Very Good,"₪ 4,055",417 reviews,King Room with Sofa Bed,"2 beds (1 king, 1 sofa bed)",FREE cancellation • No prepayment needed,2023-03-25-2023-03-29,2023-03-22,4 nights,3.0
Ramada by Wyndham New York Times Square West,"Hell's Kitchen, New York",1.2 km from center,6.9,Review score,"₪ 2,734","2,611 reviews",Deluxe Double Room with Two Double Beds - Non-Smoking,2 full beds,Prepayment,2023-03-25-2023-03-29,2023-03-22,4 nights,3.0
Feather Factory Hotel,"Long Island City, Queens",4.3 km from center,8.0,Very Good,"₪ 1,789","1,419 reviews",Standard Room Disability Access,1 full bed,FREE cancellation • No prepayment needed,2023-03-25-2023-03-29,2023-03-22,4 nights,3.0
"Holiday Inn Express - Times Square, an IHG Hotel","Hell's Kitchen, New York",1.6 km from center,6.4,Review score,"₪ 2,681","2,558 reviews",King Room,1 king bed,FREE cancellation • No prepayment needed,2023-03-25-2023-03-29,2023-03-22,4 nights,3.0
Hilton Garden Inn Times Square,"Manhattan, New York",0.9 km from center,7.5,Good,"₪ 2,996","2,185 reviews",King Room,1 king bed,Prepayment,2023-03-25-2023-03-29,2023-03-22,4 nights,3.0
Penny Williamsburg,"Williamsburg, Brooklyn",6.3 km from center,8.8,Excellent,"₪ 2,765",468 reviews,Queen,1 queen bed,FREE cancellation • No prepayment needed,2023-03-25-2023-03-29,2023-03-22,4 nights,3.0
SpringHill Suites by Marriott New York Manhattan Chelsea,"Chelsea, New York",2.5 km from center,8.2,Very Good,"₪ 3,157","3,960 reviews",King Room,"Private suite
1 king bed",Prepayment,2023-03-25-2023-03-29,2023-03-22,4 nights,3.0
LIC Hotel,"Long Island City, Queens",3.6 km from center,8.4,Very Good,"₪ 2,456","1,993 reviews",Superior Twin Room,2 twin beds,Prepayment,2023-03-25-2023-03-29,2023-03-22,4 nights,3.0
Hyatt Place New York City/Times Square,"Hell's Kitchen, New York",1.7 km from center,7.6,Good,"₪ 2,919","15,172 reviews",King Room,1 king bed,FREE cancellation • No prepayment needed,2023-03-25-2023-03-29,2023-03-22,4 nights,3.0
Hyatt Place Long Island City,"Long Island City, Queens",4.1 km from center,8.5,Very Good,"₪ 3,260",893 reviews,King Room,,Free cancellation,2023-03-25-2023-03-29,2023-03-22,4 nights,3.0
Millennium Downtown New York,"Wall Street - Financial District, New York",6.8 km from center,7.3,Good,"₪ 2,261","3,645 reviews",Superior King Room,1 king bed,FREE cancellation • No prepayment needed,2023-03-25-2023-03-29,2023-03-22,4 nights,3.0
The Marlton Hotel,"Greenwich Village, New York",4.1 km from center,8.2,Very Good,"₪ 4,386",650 reviews,Petite Full Room,1 full bed,FREE cancellation • No prepayment needed,2023-03-25-2023-03-29,2023-03-22,4 nights,3.0
Wyndham Garden Long Island City,"Long Island City, Queens",3.2 km from center,7.5,Good,"₪ 2,668",690 reviews,Standard King Room,1 king bed,FREE cancellation • No prepayment needed,2023-03-25-2023-03-29,2023-03-22,4 nights,3.0
MOXY NYC Times Square,"Manhattan, New York",1.9 km from center,8.0,Very Good,"₪ 3,146","8,722 reviews",Double Room,1 full bed,FREE cancellation • No prepayment needed,2023-03-25-2023-03-29,2023-03-22,4 nights,3.0
The Benjamin Royal Sonesta New York,"Midtown East, New York",1.5 km from center,7.6,Good,"₪ 3,416",594 reviews,Queen Room,1 queen bed,FREE cancellation • No prepayment needed,2023-03-25-2023-03-29,2023-03-22,4 nights,3.0
NYC Townhouse Apartment,"Harlem, New York",4.8 km from center,7.0,Good,"₪ 3,447",20 reviews,One-Bedroom Apartment,"Entire apartment • 1 bedroom • 1 living room • 1 bathroom • 1 kitchen • 74m²
3 beds (1 king, 2 sofa beds)",FREE cancellation • No prepayment needed,2023-03-25-2023-03-29,2023-03-22,4 nights,3.0
La Quinta by Wyndham New York City Central Park,"Upper West Side, New York",1 km from center,6.6,Review score,"₪ 2,276","2,752 reviews",1 Double Bed - Non Smoking,1 full bed,FREE cancellation • No prepayment needed,2023-03-25-2023-03-29,2023-03-22,4 nights,3.0
The Ludlow Hotel,"Lower East Side, New York",5.2 km from center,8.9,Excellent,"₪ 5,396",892 reviews,Queen Studio,1 full bed,Free cancellation,2023-03-25-2023-03-29,2023-03-22,4 nights,3.0
TBA Times Square,"Hell's Kitchen, New York",1.6 km from center,7.5,Good,"₪ 2,548","8,478 reviews",Deluxe King Studio,"Entire studio • 1 bathroom • 325m²
1 king bed",FREE cancellation • No prepayment needed,2023-03-25-2023-03-29,2023-03-22,4 nights,3.0
Da Vinci Hotel,"Manhattan, New York",250 m from center,7.3,Good,"₪ 2,402",657 reviews,Standard Queen Room,1 queen bed,FREE cancellation • No prepayment needed,2023-03-25-2023-03-29,2023-03-22,4 nights,3.0
Fairfield Inn by Marriott New York Manhattan/Financial District,"Wall Street - Financial District, New York",7.2 km from center,7.5,Good,"₪ 2,075","2,282 reviews",King Room,1 king bed,FREE cancellation • No prepayment needed,2023-03-25-2023-03-29,2023-03-22,4 nights,3.0
The Gallivant Times Square,"Manhattan, New York",0.9 km from center,6.5,Review score,"₪ 2,332","4,080 reviews",Standard Room,1 full bed,FREE cancellation • No prepayment needed,2023-03-25-2023-03-29,2023-03-22,4 nights,3.0
Canopy By Hilton Jersey City Arts District,"Downtown Jersey City, Jersey City",7.3 km from center,8.9,Excellent,"₪ 3,827",667 reviews,King Room - Hearing Accessible,1 king bed,Prepayment,2023-03-25-2023-03-29,2023-03-22,4 nights,3.0
M Social Hotel Times Square New York,"Manhattan, New York",0.6 km from center,8.4,Very Good,"₪ 3,775","5,657 reviews",Social Superior Hudson River View King,1 king bed,FREE cancellation • No prepayment needed,2023-03-25-2023-03-29,2023-03-22,4 nights,3.0
Courtyard by Marriott New York Manhattan/Central Park,"Manhattan, New York",450 m from center,8.2,Very Good,"₪ 4,275","3,338 reviews",King or Queen Room with City View,1 queen bed,FREE cancellation • No prepayment needed,2023-03-25-2023-03-29,2023-03-22,4 nights,3.0
Hotel Mulberry,"Chinatown, New York",6.1 km from center,8.4,Very Good,"₪ 4,825",366 reviews,Deluxe King Suite Park View,1 king bed,Free cancellation,2023-03-25-2023-03-29,2023-03-22,4 nights,3.0
Nolitan Hotel SoHo - New York,"SoHo, New York",5.4 km from center,7.9,Good,"₪ 2,657","1,153 reviews",Superior Queen Room with Balcony Disability Access,1 full bed,FREE cancellation • No prepayment needed,2023-03-25-2023-03-29,2023-03-22,4 nights,3.0
Best Western Plus Soho Hotel,"Chinatown, New York",5.8 km from center,8.9,Excellent,"₪ 3,212",115 reviews,Queen Room,1 queen bed,FREE cancellation • No prepayment needed,2023-03-25-2023-03-29,2023-03-22,4 nights,3.0
"The Draper New York, Tapestry Collection by Hilton","Manhattan, New York",1.9 km from center,8.4,Very Good,"₪ 3,201","1,035 reviews",King Room,1 king bed,Prepayment,2023-03-25-2023-03-29,2023-03-22,4 nights,3.0
YOTEL New York Times Square,"Hell's Kitchen, New York",1.5 km from center,7.1,Good,"₪ 2,280","3,820 reviews",Empire State Building View,1 full bed,Prepayment,2023-03-25-2023-03-29,2023-03-22,4 nights,3.0
U Hotel Fifth Avenue I Empire State Building,"Manhattan, New York",2.1 km from center,7.9,Good,"₪ 2,087","1,727 reviews",Queen Room,1 queen bed,FREE cancellation • No prepayment needed,2023-03-25-2023-03-29,2023-03-22,4 nights,3.0
Sonder Duane Street,"Tribeca, New York",6.2 km from center,7.8,Good,"₪ 2,881",236 reviews,King Room,"Private suite
1 king bed",Free cancellation,2023-03-25-2023-03-29,2023-03-22,4 nights,3.0
Riu Plaza Manhattan Times Square,"Manhattan, New York",1 km from center,8.6,Excellent,"₪ 4,614","6,704 reviews",Deluxe Family King,"2 beds (1 king, 1 sofa bed)",FREE cancellation • No prepayment needed,2023-03-25-2023-03-29,2023-03-22,4 nights,3.0
citizenM New York Bowery,"Lower East Side, New York",5.4 km from center,8.8,Excellent,"₪ 2,792","2,187 reviews",King Room,1 king bed,Prepayment,2023-03-25-2023-03-29,2023-03-22,4 nights,3.0
Radio Hotel,"Washington Heights, New York",9.8 km from center,8.3,Very Good,"₪ 2,057",389 reviews,Standard Studio,"Entire studio • 1 bathroom • 17m²
1 queen bed",Free cancellation,2023-03-25-2023-03-29,2023-03-22,4 nights,3.0
Grayson Hotel,"Manhattan, New York",1.8 km from center,8.3,Very Good,"₪ 2,905",59 reviews,King Room,1 king bed,Prepayment,2023-03-25-2023-03-29,2023-03-22,4 nights,3.0
Moxy Brooklyn Williamsburg,"Williamsburg, Brooklyn",6.5 km from center,7.0,Good,"₪ 3,617",2 reviews,King Room,1 king bed,FREE cancellation • No prepayment needed,2023-03-25-2023-03-29,2023-03-22,4 nights,3.0
Hampton Inn Brooklyn Downtown,"Downtown Brooklyn, Brooklyn",8.1 km from center,8.4,Very Good,"₪ 3,025","1,803 reviews",King Room - Hearing Accessible,1 king bed,Prepayment,2023-03-25-2023-03-29,2023-03-22,4 nights,3.0
The William Vale,"Williamsburg, Brooklyn",5.5 km from center,8.1,Very Good,"₪ 4,688","1,149 reviews",King With Balcony,1 king bed,FREE cancellation • No prepayment needed,2023-03-25-2023-03-29,2023-03-22,4 nights,3.0
Comfort Inn Manhattan - Midtown West,"Hell's Kitchen, New York",1.1 km from center,6.9,Review score,"₪ 3,042",882 reviews,Double Room,2 full beds,Free cancellation,2023-03-25-2023-03-29,2023-03-22,4 nights,3.0
Hyatt Regency Jersey City,Jersey City,7.1 km from center,8.0,Very Good,"₪ 5,588",886 reviews,Double Room with Two Double Beds,2 full beds,FREE cancellation • No prepayment needed,2023-03-25-2023-03-29,2023-03-22,4 nights,3.0
NobleDEN Hotel,"Little Italy, New York",5.6 km from center,9.0,Wonderful,"₪ 2,577","1,462 reviews",Standard Queen,1 full bed,Free cancellation,2023-03-25-2023-03-29,2023-03-22,4 nights,3.0
Element Times Square West,"Hell's Kitchen, New York",1.6 km from center,7.5,Good,"₪ 2,845","5,505 reviews","Guest Room, 1 King",1 king bed,Prepayment,2023-03-25-2023-03-29,2023-03-22,4 nights,3.0
Pod 39,"Murray Hill, New York",2.1 km from center,8.1,Very Good,"₪ 2,006","6,043 reviews",Bunk Bed Room,1 bunk bed,FREE cancellation • No prepayment needed,2023-03-25-2023-03-29,2023-03-22,4 nights,3.0
"The New Yorker, A Wyndham Hotel","Hell's Kitchen, New York",2 km from center,7.7,Good,"₪ 3,011","9,037 reviews",Standard Queen Room with View,1 queen bed,Prepayment,2023-03-25-2023-03-29,2023-03-22,4 nights,3.0
Bryant Park Hotel,"Manhattan, New York",1.7 km from center,8.7,Excellent,"₪ 4,473",810 reviews,Superior Queen Room,1 queen bed,FREE cancellation • No prepayment needed,2023-03-25-2023-03-29,2023-03-22,4 nights,3.0
SpringHill Suites by Marriott New York Manhattan/Times Square South,"Hell's Kitchen, New York",1.9 km from center,8.0,Very Good,"₪ 2,754","4,138 reviews",1 Queen Bed,1 queen bed,FREE cancellation • No prepayment needed,2023-03-25-2023-03-29,2023-03-22,4 nights,3.0
Fairfield Inn & Suites by Marriott New York Manhattan/Times Square South,"Hell's Kitchen, New York",1.9 km from center,8.0,Very Good,"₪ 2,812","5,202 reviews",1 King Bed,1 king bed,FREE cancellation • No prepayment needed,2023-03-25-2023-03-29,2023-03-22,4 nights,3.0
Kasa The Duffy Times Square,"Hell's Kitchen, New York",1.1 km from center,7.9,Good,"₪ 2,989",162 reviews,Queen Room (Self Check-in with Virtual Front Desk),1 queen bed,Free cancellation,2023-03-25-2023-03-29,2023-03-22,4 nights,3.0
Henn na Hotel New York,"Manhattan, New York",1.9 km from center,8.5,Very Good,"₪ 3,972","1,635 reviews",Handicap Accessible Room,1 king bed,FREE cancellation • No prepayment needed,2023-03-25-2023-03-29,2023-03-22,4 nights,3.0
Hotel 309,"Chelsea, New York",3.6 km from center,6.0,Review score,"₪ 1,485",817 reviews,Economy Room with Shared Bath,1 queen bed,Free cancellation,2023-03-25-2023-03-29,2023-03-22,4 nights,3.0
Hotel Edison Times Square,"Manhattan, New York",1 km from center,7.3,Good,"₪ 3,241","11,109 reviews",Signature 1 King Bed,1 king bed,FREE cancellation • No prepayment needed,2023-03-25-2023-03-29,2023-03-22,4 nights,3.0
"Club Quarters Hotel Grand Central, New York","Midtown East, New York",1.8 km from center,8.0,Very Good,"₪ 2,740","2,352 reviews",Standard Queen Room,1 queen bed,Prepayment,2023-03-25-2023-03-29,2023-03-22,4 nights,3.0
Courtyard New York Downtown Manhattan/Financial District,"Wall Street - Financial District, New York",7.1 km from center,7.3,Good,"₪ 2,310",609 reviews,"Guest room, 1 King, City view",1 king bed,FREE cancellation • No prepayment needed,2023-03-25-2023-03-29,2023-03-22,4 nights,3.0
The Belvedere Hotel,"Hell's Kitchen, New York",0.9 km from center,8.0,Very Good,"₪ 3,023","3,701 reviews",Executive Queen Room,1 queen bed,FREE cancellation • No prepayment needed,2023-03-25-2023-03-29,2023-03-22,4 nights,3.0
"Hotel Shocard Broadway, Times Square","Manhattan, New York",1.5 km from center,7.6,Good,"₪ 1,850","1,066 reviews",Queen Room,1 queen bed,FREE cancellation • No prepayment needed,2023-03-25-2023-03-29,2023-03-22,4 nights,3.0
"The Standard, High Line New York","Greenwich Village, New York",3.7 km from center,8.1,Very Good,"₪ 5,100","1,745 reviews",Deluxe Queen Room,1 queen bed,Free cancellation,2023-03-25-2023-03-29,2023-03-22,4 nights,3.0
Hampton Inn Manhattan-35th St Empire State Bldg,"Manhattan, New York",2 km from center,8.3,Very Good,"₪ 3,212","3,461 reviews",King Room,1 king bed,Prepayment,2023-03-25-2023-03-29,2023-03-22,4 nights,3.0
Fitzpatrick Manhattan,"Midtown East, New York",1.4 km from center,8.2,Very Good,"₪ 3,124",368 reviews,Deluxe Room,1 queen bed,FREE cancellation • No prepayment needed,2023-03-25-2023-03-29,2023-03-22,4 nights,3.0
JG Sohotel,"SoHo, New York",5.7 km from center,7.2,Good,"₪ 2,468",34 reviews,Queen Room,1 queen bed,Prepayment,2023-03-25-2023-03-29,2023-03-22,4 nights,3.0
The Manhattan at Times Square,"Manhattan, New York",0.7 km from center,5.6,Review score,"₪ 1,694","4,113 reviews",Run of House,1 full bed,Free cancellation,2023-03-25-2023-03-29,2023-03-22,4 nights,3.0
Carnegie Hotel,"Manhattan, New York",400 m from center,8.6,Excellent,"₪ 4,211","1,115 reviews",Superior Queen Room,1 queen bed,FREE cancellation • No prepayment needed,2023-03-25-2023-03-29,2023-03-22,4 nights,3.0
Motto by Hilton New York City Chelsea,"Chelsea, New York",2.8 km from center,8.7,Excellent,"₪ 3,464","1,217 reviews",King Room,1 king bed,Prepayment,2023-03-25-2023-03-29,2023-03-22,4 nights,3.0
1 Hotel Brooklyn Bridge,"Brooklyn Heights, Brooklyn",7.5 km from center,8.2,Very Good,"₪ 5,353",640 reviews,King Room,1 king bed,Prepayment,2023-03-25-2023-03-29,2023-03-22,4 nights,3.0
Pod 51,"Midtown East, New York",1.7 km from center,7.8,Good,"₪ 1,753","7,087 reviews",Standard Bunk Bed Room with Shared Bathroom,1 bunk bed,FREE cancellation • No prepayment needed,2023-03-25-2023-03-29,2023-03-22,4 nights,3.0
"Crowne Plaza Times Square Manhattan, an IHG Hotel","Manhattan, New York",0.9 km from center,7.7,Good,"₪ 3,370","1,466 reviews",Traditional King Room - Non-Smoking,1 king bed,Prepayment,2023-03-25-2023-03-29,2023-03-22,4 nights,3.0
Off SoHo Suites Hotel,"Lower East Side, New York",5.3 km from center,8.0,Very Good,"₪ 3,782",369 reviews,Deluxe One-Bedroom Suite,"Private suite • 1 bedroom • 1 living room • 1 bathroom • 51m²
2 beds (1 sofa bed, 1 queen)",Prepayment,2023-03-25-2023-03-29,2023-03-22,4 nights,3.0
U.S. Pacific Hotel,"Chinatown, New York",5.7 km from center,5.6,Review score,"₪ 1,291","1,139 reviews",Standard Double (No Window),1 full bed,Free cancellation,2023-03-25-2023-03-29,2023-03-22,4 nights,3.0
NoMo SoHo,"SoHo, New York",5.6 km from center,7.3,Good,"₪ 2,955",538 reviews,Queen Room,1 queen bed,FREE cancellation • No prepayment needed,2023-03-25-2023-03-29,2023-03-22,4 nights,3.0
The Historic Blue Moon Hotel - NYC,"Lower East Side, New York",5.5 km from center,7.7,Good,"₪ 3,054",51 reviews,Deluxe King,1 king bed,FREE cancellation • No prepayment needed,2023-03-25-2023-03-29,2023-03-22,4 nights,3.0
Millennium Hotel Broadway Times Square,"Manhattan, New York",1.3 km from center,7.0,Good,"₪ 3,054","5,928 reviews",Queen Room with Bath Tub - Hearing/Mobility Accessible,1 queen bed,FREE cancellation • No prepayment needed,2023-03-25-2023-03-29,2023-03-22,4 nights,3.0
Sofitel New York,"Manhattan, New York",1.4 km from center,7.5,Good,"₪ 4,043",524 reviews,Superior Queen Room,1 queen bed,Prepayment,2023-03-25-2023-03-29,2023-03-22,4 nights,3.0
Roxy Hotel New York,"Tribeca, New York",5.8 km from center,8.4,Very Good,"₪ 5,388",942 reviews,Standard Room,1 full bed,FREE cancellation • No prepayment needed,2023-03-25-2023-03-30,2023-03-22,5 nights,3.0
Margaritaville Resort Times Square,"Manhattan, New York",1.5 km from center,8.8,Excellent,"₪ 3,813","1,459 reviews",Premium Double Room,1 full bed,Prepayment,2023-03-25-2023-03-30,2023-03-22,5 nights,3.0
33 Seaport Hotel New York,"Wall Street - Financial District, New York",6.9 km from center,8.7,Excellent,"₪ 3,392",284 reviews,Superior Courtyard King,1 king bed,Free cancellation,2023-03-25-2023-03-30,2023-03-22,5 nights,3.0
"Holiday Inn Express & Suites Jersey City - Holland Tunnel, an IHG Hotel",Jersey City,6.4 km from center,8.2,Very Good,"₪ 2,563","1,290 reviews",Suite with Two Beds - Non-Smoking,"Private suite
3 beds (1 sofa bed, 2 queens)",Prepayment,2023-03-25-2023-03-30,2023-03-22,5 nights,3.0
Royalton New York,"Manhattan, New York",1.4 km from center,7.6,Good,"₪ 4,935","1,400 reviews",Standard Queen Room,1 queen bed,FREE cancellation • No prepayment needed,2023-03-25-2023-03-30,2023-03-22,5 nights,3.0
Pod Times Square,"Hell's Kitchen, New York",1.4 km from center,8.1,Very Good,"₪ 2,010","12,925 reviews",Bunk Pod,2 twin beds,FREE cancellation • No prepayment needed,2023-03-25-2023-03-30,2023-03-22,5 nights,3.0
Hyatt House Jersey City,Jersey City,7.3 km from center,8.2,Very Good,"₪ 4,043","1,531 reviews",King Room,1 king bed,Free cancellation,2023-03-25-2023-03-30,2023-03-22,5 nights,3.0
Aloft Brooklyn,"Downtown Brooklyn, Brooklyn",8.5 km from center,6.0,Review score,"₪ 2,131",875 reviews,"Guest Room, 1 King",1 king bed,FREE cancellation • No prepayment needed,2023-03-25-2023-03-30,2023-03-22,5 nights,3.0
The Tillary Hotel Brooklyn,"Downtown Brooklyn, Brooklyn",8 km from center,7.6,Good,"₪ 3,036",211 reviews,Classic King,Multiple bed types,FREE cancellation • No prepayment needed,2023-03-25-2023-03-30,2023-03-22,5 nights,3.0
Pod Brooklyn,"Williamsburg, Brooklyn",6.2 km from center,8.2,Very Good,"₪ 2,952","2,876 reviews",Queen Pod,1 queen bed,FREE cancellation • No prepayment needed,2023-03-25-2023-03-30,2023-03-22,5 nights,3.0
UES apartment,"Upper East Side, New York",2.6 km from center,9.0,Wonderful,"₪ 3,117",1 review,One-Bedroom Apartment,"Entire apartment • 1 bedroom • 1 living room • 1 bathroom • 1 kitchen • 800m²
2 beds (1 full, 1 sofa bed)",Prepayment,2023-03-25-2023-03-30,2023-03-22,5 nights,3.0
Holland Hotel Free Parking Jersey City,Jersey City,6.5 km from center,8.3,Very Good,"₪ 2,485",961 reviews,King Room - Non-Smoking,1 king bed,Free cancellation,2023-03-25-2023-03-30,2023-03-22,5 nights,3.0
Paramount Hotel Times Square,"Manhattan, New York",1 km from center,6.5,Review score,"₪ 2,343","2,522 reviews",Double Room,1 full bed,Prepayment,2023-03-25-2023-03-30,2023-03-22,5 nights,3.0
Courtyard By Marriott Jersey City Newport,"Newport, Jersey City",6.3 km from center,8.3,Very Good,"₪ 4,015",417 reviews,King Room with Sofa Bed,"2 beds (1 king, 1 sofa bed)",FREE cancellation • No prepayment needed,2023-03-25-2023-03-30,2023-03-22,5 nights,3.0
